English;;Turkish
Aim At;To point a weapon at someone or something.(Hedeflemek)
Ask For;To request something.(İstemek)
Ask Out;When you ask someone to go with (Çıkma Teklifi Etmek)
Back Down;To withdraw your position in a fight or plan etc.(Geri çekilmek)
Back Off;When you leave an emotional situation, or to allow someone to handle something alone.(Geri basmak)
Back Up;To walk or drive a vehicle backwards.(Destek olmak)
Beat Up;When someone punches, kicks, or hits someone repeatedly using fists or with an object.(;Dövmek)
Beef Up;To make changes or an improvement.(;Değişiklik Yapmak)
Believe In;To feel confident about something or someone.(;İnan)
Bite Off;To use your teeth to bite a piece of something.(;Isırmak)
Blow Away;When the wind moves an object or person from where it was.(;Uçup gitmek)
Blow Off;When the wind removes something from its place.(;Uçurmak)
Blow Out;To extinguish or make a flame stop burning.(;Alev söndürmek)
Blow Up;To make something explode.(;Patlamak)
Boil Down To;To have determined or analyzed the solution or reason for something.(;Kaynatmak)
Break Down;When someone loses self-control and is emotionally and/or mentally agitated. This meaning has a noun form for a situation where someone loses self-control.(;Bozulma)
Break In;To enter a place illegally and with the use of force.(;Sözünü kesmek)
Break Off;To remove a part of something with force.(;Ara)
Break Out;To escape from a place, situation or way of life.(;Kaçmak)
Break Through;To make a way through a barrier or a surface.(;Atılım)
Break Up;To stop a fight.(;Ayrılmak)
Bring Back;To return something you’ve borrowed.(;Geri getir)
Bring Over;To bring someone or something from one place or area to another.(;Getir)
Bring Up;To bring something from a lower level/place to a higher level/place.(;Yetiştirmek)
Brush Off;To remove something(dust particle, insect, etc) with your hand.;Savmak
Brush Up;To practice and review your knowledge or a skill that you haven’t used in a while.;Fırçala
Build In/Into;To add a fixture or component to a certain area or place through construction.;İçine/İçine Oluştur
Bump Into;When you meet people by accident or unexpectedly.;Karşılaşmak
Burn Down;When someone uses fire to destroy a structure.;Kül olmak
Burn Out;When a candle stops burning because there is nothing left to burn.;Yanmak
Burn Up;To destroy something with heat or fire.;Yakmak
Burst Out;To suddenly do or say something.;Haykırmak
Butt In;To interrupt a conversation or activity.;popo içeri
Call Back;To call someone again.;Geri çağırmak
Call In;To request that someone come and help.;Arayın
Call Off;To cancel an event that has been previously planned.;İptal
Call Up;To be chosen to take part in a military mission.;Çağırmak
Calm Down;To become less violent, nervous, excited or angry.;Sakin ol
Care For;To nurture or take care of someone or something.;Bakım
Carry Away;To do something out of the ordinary due to strong emotions.;Uzağa taşı
Carry On;To continue doing something or to continue on in life despite an obstacle.;Sürdürmek
Carry Out;To move something or someone from one place to another using your arms or an object.;Gerçekleştirmek
Catch On;To understand or realize something.;Yakalamak
Catch Up;To move faster to reach someone or something that is ahead of you.;Yetişmek
Cheat On;When you are emotionally and/or sexually unfaithful to your girlfriend/boyfriend or spouse.;Aldatmak
Check In;To register at a hotel or airport upon arrival.;Giriş
Check Out;To leave a hotel or other form of an accommodation after your stay there.;Çıkış yapmak
Chicken Out;To refrain from doing something because of fear.;Çekinmek
Chop Up;To cut something into pieces with a knife.;Kıymak
Clean Out;To clean or clear the inside of something thoroughly.;Temizlemek
Clear Out;To remove things completely from an area or place.;Temizle
Clear Up;To do something to solve a problem or a misunderstanding.;Temizle
Clog Up;When something in a drain or valve prevents the flow of water or other liquids;Tıkanma
Close Down;When the activities or services of a business permanently end.;Kapatmak
Close Off;To block an entrance or pathway.;Kapatmak
Come About;When something happens or occurs.;HAKKIMIZDA
Come Across;The way other people perceive something or someone.;Karşılaşmak
Come Apart;When something breaks or separates piece by piece.;Parçalanmak
Come Back;To return to a place.;Geri gelmek
Come Down;To move from a higher to a lower position or from north to south.;Sakinleş
Come Down To;When a situation is reduced to a certain outcome.;Aşağıya Gel
Come Down With;When you start to experience the symptoms of a disease or illness.;Aşağıya Gel
Come In;When someone or something enters a place, building, or room.;Girin
Come Off;When something is removed or breaks off from where it was originally attached to.;Gel
Come On;To appear on television or be heard on the radio.;Hadi
Come Out;To leave a place.;Çıkmak
Come Over;To make a visit.;Gel
Come Through;When someone or something expected arrives.;Gel
Come Up;When something appears or happens, either expected or unexpected.;Ortaya çıkmak
Come Up With;When you think of a solution, idea, plan, or excuse.;Gelip Gel
Con Into;To persuade someone to do something through lies and deception.;İçine
Con Out Of;To persuade someone to give or do something through lies and deception.;Dışında
Cool Off;To lose temperature.;Serinlemek
Count On;To rely on someone for support when you need it most.;Güvenmek
Count Up;To count all of something or people in a group.;Saymak
Cover Up;To use something to conceal something else.;Örtmek
Crack Down;To take more action than usual against wrongdoing.;Çatlamak
Cross Off;To remove or delete someone or something from a list.;Çapraz Kapalı
Cut Back;When you spend less money on something.;Azaltmak
Cut Down;To do less of something or to use something in smaller amounts.;Kes
Cut Off;To completely remove or separate a part of something by cutting it with something sharp like a knife or a pair of scissors, etc.;Ayırmak
Cut Out;To remove something using a knife or a pair of scissors.;Kesmek
Cut Up;When you use a knife or scissors to cut something into several pieces.;Dilimlemek
Deal With;When you do everything you must do to solve a problem or complete.;Uğraşmak
Do Away With;To dispose of something.;Uzak dur
Do Over;To do something again in order to improve or correct mistakes.;Tekrar Yap
Do With;To make a connection between two or more things.;İle yapmak
Do Without;To manage well without something or someone.;Sız yapmak
Doze Off;To go to sleep unintentionally.;Uyuklama
Dress Up;To wear formal clothes, or a costume for a special occasion.;Giydirme
Drop In;To visit someone unexpectedly or without making arrangements first.;Bırakın
Drop Off;To gradually decline/become less.;Bırakmak
Drop Out;To quit a school program or training course.;Bırakmak
Dry Off;To dry something or a surface quickly.;Kurutma Kapalı
Dry Out;To remove water or other liquid from a container.;Kurutma
Dry Up;When all the liquid and/or moisture evaporates.;Kurutma
Eat Up;When someone consumes all their food.;Yiyip bitirmek
Empty Out;To remove everyone or everything from a space.;Boşalt
End Up;The end result of something planned or unplanned.;Sonuçlanmak
Fall Apart;When something breaks all at once or piece by piece.;Darmadağın
Fall Behind;To move slower than others.;Geri kalmak
Fall Down;To fall to the ground.;Düşmek
Fall For;When you have an intense attraction to something or someone.;Aldanmak
Fall Off;When something drops to a lower level.;Düşmek
Fall Out;To fall from or through something.;Araları açılmak
Fall Over;When someone or something falls from an upright position to the ground.;Düşmek
Fall Through;If things do not go as planned, or if a plan, deal or agreement fails.;Suya düşmek
Feel Up To;When you have/don’t have the energy and confidence to do something.;Kendinizi İyi Hissedin
Fight Back;When you defend yourself/resist an attack, or make an effort against an opponent in a competition.;Direnmek
Figure On;To expect or plan for something.;Şekil Açık
Fill In;To add personal information in the blank spaces of an official document.;Doldurun
Fill Out;To complete a form.;Doldur
Fill Up;To fill something completely.;Doldur
Find Out;To become aware of something or someone.;Anlamak
Fix Up;To make plans or arrangements with someone or for others.;Onarmak
Flip Out;To become very mad or lose control over your emotions.;Çıldırmak
Float Around;When an object or a person is near, but you cannot pinpoint the exact location.;Çevresinde yüzmek
Follow Up;To find out more about something, or take further action in regards to it.;Takip etmek
Fool Around;To waste time doing unimportant or silly things.;Takılmak
Freak Out;When someone becomes irrationally upset or angry, sometimes to the point of confusion.;çıldırmak
Get Ahead;To become successful in the professional environment or make consistent progress in life.;Öne geçmek
Get Along;To have good interactions with others.;Geçinmek
Get Around To;To do something that needed to get done at an earlier time.;Etrafında Dolaşmak
Get Away;To escape from something.;Kurtulmak
Get Back;To return to a place.;Geri gel
Get Back At;To get revenge.;İntikam almak
Get Back To;When you talk to someone at a later time either because you are busy or you have obtained additional or new information.;Geri Dön
Get Behind;To learn, work, or progress more slowly than others.;Arkaya yerleş
Get By;To pass someone or something.;İdare etmek
Get Down;To move to a lower place or level.;Eğil
Get In;To arrive or enter a place, room, building, etc.;Alın
Get Off;To leave a form of transportation, except a car.;İnmek
Get Off On;To be excited or to truly enjoy doing something.;Anlamadım paşam
Get On;When you move your body and either stand, sit, lie, kneel, etc. towards something (non-separable).;Binmek
Get Out;To leave or escape.;Çıkmak
Get Out Of;To receive a benefit and/or satisfaction from doing something.;Dışarı Çık
Get Over;To move past an obstacle to the other side.;Atlatmak
Get Over With;To finish something that needs to get done.;AŞ artık
Get Through;When a message, meaning, or idea is understood or accepted.;Üstesinden gelmek
Get To;To arrive to or assist someone to a place.;Git
Get Together;To meet and spend time together.;Toplanmak
Get Up;To move to a higher level/position.;Uyanmak
Give Away;To give something for free or without expecting anything in return.;Vermek
Give In;To surrender to something.;teslim ol
Give Out;To distribute something.;Vermek
Give Up;To stop doing something without completing it.;Pes etmek
Go About;To take the necessary steps to get something done.;Hakkında
Go After;When you do your best to get something no matter how difficult it is.;Peşinden gitmek
Go Ahead;To proceed to do something that you were hesitant about.;Devam etmek
Go Along With;to accept or agree with a decision, rule, opinion, etc.;Katılmak
Go Around;To follow a circular path.;Etrafından dolaş
Go Away;To move or travel from one place to another place.;Çekip gitmek
Go Back;To return to a place, time, activity, or a person.;Geri gitmek
Go Back On;When you fail to fulfill a promise you made to someone.;Caymak
Go Beyond;To be more than or better than what is normal or expected.;Aşmak
Go By;To pass someone or something quickly.;Birini hızlıca geçmek
Go Down;To move to a lower position, place, price, level, etc.;Aşağı in
Go For;To try to obtain.;Git
Go In;To enter a place, building, room, etc.;İçeri gir
Go In For;To enter a place or area for a specific reason.;İçeri Gir
Go In/Into;To enter a place, room, building, etc. usually through a door.;İçeri / İçine Git
Go Off;To leave unannounced.;Kapat
Go On;When something takes place.;Devam et
Go Out;To leave a place or area you’re in.;Dışarı çıkmak
Go Over;To review something.;Üstüne Git
Go Through With;When you make a decision to do something, and actually do it.;Yürütmek
Go Up;To move or extend to a higher level or farther North.;Yukarı git
Go With;To accompany someone to a place.;İle git
Goof Around;To waste time doing silly or unimportant things.;Saçma şeylerle zaman harcamak
Gross Out;To be disgusted with someone or something.;İğrenç olmak
Grow Out Of;To become too big or too tall for your clothes.;Büyümek
Grow Up;When you physically change from a child to an adult.;Çıkmak
Hand Back;When you return something to the person who owns it after the person has given it to you;Geri vermek
Hand In;To give something to a person of authority.;Teslim Et
Hand Out;To distribute something free to other people.;Dağıt
Hand Over;To give upon request or demand.;Devretmek
Hang Around;To spend time in a place or an area.;Takılmak
Hang On;When you hold something, often for support of comfort.;Hatta beklemek
Hang Out;To hang something, usually wet clothes, to dry.;Oyalanmak
Hang Up;To hang clothes or an object on a hook, hanger or rod.;Telefonu kapatmak
Have On;To wear clothing, cosmetics, perfume, etc.;Sahip
Head Back;To go to a place where you’ve been before or where you started from.;Geri kafa
Head For;When a situation becomes more likely.;Yönelmek
Head Toward;To move in the direction where someone or something is.;Doğruya Doğru
Hear About;When you learn details about something or someone.;Hakkında duymak
Hear Of;When you learn about something or someone.;Duymak
